어리,O,ㄹ,O,때,O,ㄴ,O,좀,O,조용,B-KEY,하,O,고,O,내성,B-KEY,적,O,이,O,었,O,어요,O,.,O,친구,O,들,O,앞,O,에서,O,말,O,하,O,는,O,게,O,쉽,O,지,O,않,O,았,O,거든,O,요,O,.,,,,,,,,,,,,,
혼자,B-KEY,조용히,O,책,B-KEY,읽거나,O,그림,B-KEY,그리는,O,걸,O,좋아했지만,O,",",O,친구들,B-KEY,이랑,O,같이,O,놀,O,때,O,도,O,참,O,즐거웠어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대체로,O,말,O,은,O,잘,O,듣,B-KEY,는,I-KEY,편,O,이,O,었,O,지만,O,",",O,마음,B-KEY,속,O,으로,O,는,O,자기,O,생각,O,을,O,꽤,O,고집스럽,B-KEY,게,O,지키,O,는,O,편,O,이,O,었,O,어요,O,.,O,,,,,,,,,,,,,,
가끔,O,은,O,양보,B-KEY,했,O,지만,O,",",O,때로,O,는,O,내,O,마음,O,을,O,지키,O,려고,O,조금,O,은,O,버틴,B-KEY,적,O,도,O,있,O,었,O,어요,O,.,O,그래도,O,다,O,들,O,이해,O,해,O,줬,O,죠,O,.,O,,,,,,,,,,
네,O,",",O,규칙,B-KEY,을,O,지키,O,려고,O,노력,B-KEY,했,O,어요,O,.,O,그래야,O,모두,O,가,O,편안,B-KEY,하,O,게,O,지낼,O,수,O,있,O,다고,O,생각,O,했,O,거든,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,
처음,O,에,O,는,O,망설,O,였,O,지만,O,",",O,나중,O,에,O,는,O,화해,B-KEY,가,O,중요,B-KEY,하,O,다는,O,걸,O,알,O,기,O,에,O,먼저,O,사과,B-KEY,하,O,는,O,쪽,O,이,O,었,O,어요,O,.,O,,,,,,,,,,,,,,
내,O,가,O,제대로,O,성장,B-KEY,하,O,고,O,있,O,는,O,"지,",O,가족,B-KEY,과,O,친구,B-KEY,사이,O,에서,O,내,O,가,O,잘,O,하,O,고,O,있,O,는,O,지,O,많이,O,고민,O,했,O,어요.,O,,,,,,,,,,,,,,,,,,
친구,O,는,O,많,O,지,O,않,O,았,O,고,O,",",O,몇,O,명,O,과,O,깊,B-KEY,고,O,오래,B-KEY,사귀,O,는,O,걸,O,더,O,좋,O,아,O,했,O,어요,O,.,O,깊,O,은,O,우정,B-KEY,이,O,더,O,소중,O,했,O,죠,O,.,O,,,,,,
주변,O,사람,O,들,O,과,O,조용히,B-KEY,이야기,B-KEY,를,O,나누,O,거나,O,",",O,혼자,B-KEY,산책,B-KEY,하,O,며,O,마음,O,을,O,가라앉히,O,곤,O,했,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주,O,로,O,뒤,B-KEY,에서,O,돕,B-KEY,는,O,걸,O,좋,O,아,O,했,O,어요,O,.,O,모두,O,가,O,편,O,하,O,게,O,일,O,할,O,수,O,있,O,게,O,조용,B-KEY,히,O,챙,O,기,O,는,O,게,O,제,O,역,O,할,O,같,O,았,O,죠,O,.,O
